Asset1,Asset2,Asset3,Date
0.12323513355858458,-0.059702780785022704,-0.011278475180209404,2023-04-12
0.03252448461072771,0.013558372138111329,-0.013804214396909901,2023-04-13
-0.02862440521853162,-0.023934952432032242,-0.07537442479676908,2023-04-14
0.001475557923896296,-0.056679005379419396,0.03172771444124435,2023-04-15
-0.032289892511696894,-0.10864208694398374,-0.06415501093854263,2023-04-16
-0.02724970434601908,0.023838355796870735,0.028649828673403984,2023-04-17
-0.021055512958093738,-0.03303494070927596,-0.0579534300621255,2023-04-18
0.029539213234133006,0.022434980335104784,0.04686878338386937,2023-04-19
-0.03306700351807468,-0.018432815837060194,-0.020232807296142817,2023-04-20
0.0005108871052717506,-0.012726022741428844,0.03162626023441844,2023-04-21
-0.011099054675674647,0.019666304367903557,0.004694111276861925,2023-04-22
0.022937102299809404,-0.01091659692012847,0.06599308260811386,2023-04-23
-0.007479691232891441,0.006677586304712255,0.09974186547633486,2023-04-24
-0.0827972415562209,-0.05963475507515409,0.05855158596138748,2023-04-25
-0.060515720299395226,0.03056365494470033,0.04572327403522086,2023-04-26
-0.06602531100108208,-0.06037257366965922,-0.033534818713023766,2023-04-27
-0.040320479163483636,-0.03837549016353886,-0.00035151042244086075,2023-04-28
0.05474877387892534,-0.10879764559548862,0.06306996435408782,2023-04-29
0.013630930306695587,-0.04896980252216673,-0.0025354304324280677,2023-04-30
-0.0456412083356015,-0.04138675456382481,-0.04458438071068755,2023-05-01
